Name,Age,Gender,Overall usage of smartphones (in hours),Time since you acquired your first phone?,Do you feel anxious when you  dont have your smartphones.,Arguments for using smartphone for long time,Can you live without phone?,Are you addicted to smartphone?,Do you use your smartphone while driving ,Do you spend time on physical activities?,Do you plug your cell phone into the wall next to your bed when you go to sleep?,Do you use your cell phone while its charging?
252,23,0,9,4,0,1,0,0,1,1,1,0
253,12,0,9,5,0,1,1,0,1,0,1,1
254,75,0,3,2,1,1,0,1,1,1,1,1
255,47,1,7,4,0,2,2,0,1,1,1,0
256,77,0,2,2,1,1,0,1,1,1,1,1
257,13,0,1,5,0,2,1,1,1,1,0,0
258,77,0,3,2,1,1,0,1,1,1,1,1
259,12,1,1,5,0,1,0,1,0,0,0,0
260,12,0,4,3,0,4,2,1,0,1,0,0
261,23,0,5,5,0,1,2,1,0,1,1,0
262,55,0,4,2,1,1,0,1,1,1,1,1
263,12,1,4,1,0,2,1,0,0,1,0,0
264,56,0,4,2,1,1,0,1,1,1,1,1
265,12,0,1,5,0,4,0,0,0,1,0,0
266,60,0,4,2,1,1,0,1,1,1,1,1
267,50,1,3,1,0,2,0,1,0,0,1,0
268,42,0,3,2,1,2,0,1,1,1,1,1
269,45,0,4,1,1,2,0,1,1,1,1,1
270,47,0,5,1,1,2,0,1,1,1,1,1
271,11,0,8,5,0,2,1,0,0,1,0,0
272,62,0,5,1,1,2,0,1,1,1,1,1
273,67,1,2,1,1,1,0,1,1,1,1,1
274,72,1,1,1,1,1,0,1,1,1,1,1
275,22,1,4,1,1,2,0,1,1,0,1,0
276,60,0,2,1,1,1,0,1,1,1,1,1
277,24,1,10,2,0,3,2,0,1,1,1,1
278,36,0,4,1,1,2,0,1,1,0,1,1
279,30,1,10,1,0,3,2,1,0,1,1,0
280,32,0,1,3,0,1,2,1,1,0,0,1
281,24,1,10,1,0,2,2,0,1,0,0,0
282,24,0,8,2,0,2,1,0,1,0,0,0
283,21,0,7,2,0,2,0,1,1,0,1,1
284,22,0,6,1,1,2,0,0,1,1,1,1
285,21,0,4,1,1,2,0,1,1,0,1,1
286,23,1,7,1,1,1,2,1,0,0,0,0
287,22,1,5,2,1,1,0,1,1,1,1,1
288,18,0,4,3,1,1,2,1,1,0,1,1
289,22,1,6,3,1,1,0,1,1,0,0,0
290,33,1,12,1,0,3,2,1,1,0,1,1
291,25,0,10,3,1,2,0,1,0,1,0,1
292,30,0,5,1,0,2,0,1,0,0,0,0
293,23,1,5,3,0,1,1,0,1,0,0,1
294,23,0,3,1,1,2,0,1,1,0,1,1
295,21,1,2,3,1,1,0,1,1,1,1,1
296,25,0,6,2,1,2,2,1,1,0,1,1
297,18,1,6,3,1,1,2,1,1,0,1,1
298,21,1,5,3,0,1,0,1,1,1,1,0
299,24,1,10,2,1,1,0,1,1,0,1,1
300,22,0,1,1,1,1,0,1,1,0,0,1
301,21,0,5,3,1,3,1,1,1,0,1,1
302,25,0,3,3,1,1,0,1,1,0,1,0
303,22,0,6,1,0,2,1,0,0,1,1,1
304,20,1,5,1,1,1,0,1,1,1,0,1
305,21,1,6,1,1,1,2,1,1,0,1,1
306,20,1,2,3,1,1,0,1,1,0,1,0
307,24,1,2,2,0,3,1,0,1,1,0,0
308,22,1,4,3,0,2,2,0,1,1,0,1
309,21,1,5,3,1,2,2,1,1,0,1,1
310,21,1,3,5,1,1,0,1,1,0,1,1
311,22,0,18,1,0,1,2,0,1,0,0,0
312,21,1,4,1,1,1,0,1,1,0,1,1
313,45,0,6,1,0,2,2,0,0,0,0,1
314,23,0,6,4,1,2,2,1,1,1,1,1
315,23,0,4,3,1,2,2,1,1,0,0,1
316,22,1,8,1,0,2,2,0,1,1,0,0
317,22,1,10,1,1,2,2,1,1,0,1,1
318,24,1,4,2,1,1,0,1,1,0,0,1
319,21,1,12,2,1,1,2,1,1,0,1,1
320,22,0,6,5,1,2,2,1,0,0,0,1
321,24,1,4,1,0,2,2,0,1,1,1,1
322,27,0,5,1,0,2,2,0,1,0,1,0
323,22,1,7,2,1,1,2,1,1,1,1,0
324,20,1,10,2,0,3,1,0,1,1,1,0
325,22,0,3,3,1,1,0,1,1,0,0,0
326,23,0,2,1,0,1,2,0,1,1,0,1
327,22,0,3,5,1,2,2,1,1,1,1,1
328,43,0,7,1,1,2,2,1,1,0,1,0
329,22,0,4,3,1,2,0,1,1,1,1,1
330,19,1,5,2,0,1,0,1,1,1,1,0
331,50,1,7,1,0,2,2,0,1,1,0,0
332,19,1,7,3,1,2,2,1,1,1,1,1
333,26,1,4,1,0,1,2,0,1,0,0,1
334,22,1,4,3,1,3,0,1,1,0,1,0
335,18,1,10,2,1,1,0,1,1,0,1,1
336,50,1,12,2,0,2,1,1,0,0,0,1
337,18,1,3,2,0,1,2,0,1,1,1,0
338,21,1,8,2,1,1,2,1,1,0,1,1
339,18,0,3,2,1,1,0,1,1,0,1,1
340,14,1,5,2,0,2,2,1,1,0,1,1
341,22,0,3,5,1,2,2,1,1,1,1,1
342,22,0,5,2,0,2,1,1,1,0,1,1
343,19,1,12,3,1,2,2,1,1,0,1,0
344,19,1,8,4,0,2,2,0,1,0,0,1
345,24,1,5,1,0,1,0,1,1,0,0,1
346,23,1,4,1,1,2,0,1,1,0,1,1
347,18,1,5,3,1,2,2,1,1,1,1,1
348,19,1,5,2,1,1,0,1,1,0,1,1
349,26,1,2,2,1,1,2,1,1,0,1,1
350,19,1,5,3,0,2,1,1,1,0,1,1
351,21,0,3,2,1,2,0,1,1,0,1,1
352,20,1,6,1,1,2,0,1,1,0,1,0
353,18,0,10,3,0,2,2,0,1,0,0,0
354,22,1,7,2,1,1,0,1,1,0,1,1
355,18,1,10,4,1,3,2,0,1,0,1,0
356,18,0,11,3,0,1,1,0,1,0,0,0
357,25,1,3,1,1,1,2,1,1,0,1,1
358,21,1,4,2,1,1,0,1,1,0,1,1
359,23,0,12,2,1,2,1,1,1,1,1,1
360,21,0,6,2,1,1,0,1,1,0,1,1
361,24,0,4,2,0,1,2,1,1,1,1,1
362,21,1,4,2,1,3,0,0,0,0,1,1
363,21,1,4,2,0,1,0,1,1,1,1,1
364,20,1,3,3,0,3,0,1,1,0,0,0
365,22,1,7,2,1,1,2,1,1,0,1,0
366,20,0,8,4,0,3,1,1,1,0,0,1
367,26,0,5,2,1,2,2,1,1,0,1,1
368,19,1,5,3,0,2,2,1,1,0,0,1
369,19,1,12,1,0,1,1,1,1,0,0,0
370,20,0,1,3,0,2,1,1,1,0,1,0
